1_Corinthians,10,1,弟兄們，我願意提醒你們，我們的祖先都曾在雲柱下，都從海中走過，
1_Corinthians,10,2,都曾在雲中和海中受了洗而歸於梅瑟，
1_Corinthians,10,3,都吃過同樣的神糧，
1_Corinthians,10,4,都飲過同樣的神飲；原來他們所飲的，是來自伴隨他們的神磐石：那磐石就是基督。
1_Corinthians,10,5,可是，他們中多數不是天主所喜悅的，因而倒斃在曠野裏了。
1_Corinthians,10,6,這些事都是我們的鑑戒，為叫我們不貪戀惡事，就如他們貪戀過一樣。
1_Corinthians,10,7,你們也不可崇拜邪神，就如他們中有些人敬拜過一樣，如同經上記載說：「百姓坐下吃喝，起來玩樂。」
1_Corinthians,10,8,我們也不可淫亂，就如他們中有些人淫亂過，一天內就倒斃了二萬三千人。
1_Corinthians,10,9,我們也不可試探主，就如他們中有些人試探過，為蛇所殲滅。
1_Corinthians,10,10,你們也不可抱怨，就如他們中有些人抱怨過，為毀滅者所消滅。
1_Corinthians,10,11,發生在他們身上的這一切事，都是為給人作鑑戒，並記錄了下來，為勸戒我們這些生活在世末的人。
1_Corinthians,10,12,所以，凡自以為站得穩的，務要小心，免得跌倒。
1_Corinthians,10,13,你們所受的試探，無非是普通人所能受的試探；天主是忠信的，他決不許你們受那超過你們能力的試探，天主如加給人試探，也必開一條出路，叫你們能夠承擔。
1_Corinthians,10,14,為此，我親愛的諸位，你們要逃避崇拜邪神的事。
1_Corinthians,10,15,我想我是對明白人說話；你們自己審斷我所說的罷！
1_Corinthians,10,16,我們所祝福的那祝福之杯，豈不是共結合於基督的血嗎？我們所擘開的餅，豈不是共結合於基督的身體嗎？
1_Corinthians,10,17,因為餅只是一個，我們雖多，只是一個身體，因為我們眾人都共享這一個餅。
1_Corinthians,10,18,你們且看按血統做以色列的，那些吃祭物的，不是與祭壇有分子的人嗎？
1_Corinthians,10,19,那麼，我說什麼呢？是說祭邪神的肉算得什麼嗎？或是說邪神算得什麼嗎？
1_Corinthians,10,20,不是，我說的是：外教人所祭祀的，是祭祀邪魔，而不是祭祀真神。我不願意你們與邪魔有分子。
1_Corinthians,10,21,你們不能喝主的杯，又喝邪魔的杯；你們不能共享主的筵席，又共享邪魔的筵席。
1_Corinthians,10,22,難道我們要惹主發怒嗎？莫非我們比他還強嗎？
1_Corinthians,10,23,「凡事都可行」，但不全有益；「凡事都可行」，但不全助人建樹。
1_Corinthians,10,24,人不要只求自己的利益，但也該求別人的利益。
1_Corinthians,10,25,凡在肉市上買來的，為了良心的原故，不必查問什麼，你們只管吃罷！
1_Corinthians,10,26,「因為大地和其中的萬物，屬於上主。」
1_Corinthians,10,27,若有一個無信仰的人宴請你們，你們也願意去，凡給你們擺上的，為了良心的原故，不必查問什麼，你們只管吃罷！
1_Corinthians,10,28,但若有人向你們說：「這是祭過神的肉」，為了那指點的人，和為了良心的原故，你們就不可吃。
1_Corinthians,10,29,我說的良心不是自己的，而是他人的良心。那麼，我的自由為什麼要受他人良心的束縛呢？
1_Corinthians,10,30,我若以謝恩之心參加，為什麼我要因謝恩之物而受人責罵呢？
1_Corinthians,10,31,所以，你們或吃或喝，或無論作什麼，一切都要為光榮天主而作。
1_Corinthians,10,32,你們不可成為猶太人，或希臘人，或天主的教會跌倒的原因，
1_Corinthians,10,33,但要如我一樣，在一切事上使眾人喜歡，不求我自己的利益，只求大眾的利益，為使他們得救。
